,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Area.BlkSub,Height,IR,S.N,Run.Cmpd,runDate,type,SampID,replicate,inj.vol.Norm.Area,d4-Tryptamine.Norm.Area,d-IAA.Norm.Area,D-Phenylalanine.Norm.Area,D-Tryptophan.Norm.Area,Vitamin B1_IS.Norm.Area,Vitamin B2_IS.Norm.Area,D8-Arachidonic Acid.Norm.Area,D5-EPA.Norm.Area,D5-DHA.Norm.Area,D6-Tocopherol.Norm.Area,D3-Pyridoxal.Norm.Area,PooPlusModel.IS,PooPlusModel
28,170518_Poo_TruePoo_Half1,Tryptophan,2.21,comparable to blk,NA,-24931191,397668,5.114759114,39.75333897,170518_Poo_TruePoo_Half1 Tryptophan,170518,Poo,TruePoo,Half1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
29,170518_Poo_TruePoo_Half2,Tryptophan,2.23,comparable to blk,NA,-24454693,467396,4.0049027,12.64430946,170518_Poo_TruePoo_Half2 Tryptophan,170518,Poo,TruePoo,Half2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
30,170518_Poo_TruePoo_Half3,Tryptophan,2.26,comparable to blk,NA,-23689741,501171,3.983231709,14.33092536,170518_Poo_TruePoo_Half3 Tryptophan,170518,Poo,TruePoo,Half3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
31,170518_Smp_EtACpH2_1,Tryptophan,2.25,Bad IRcomparable to blkbad S/N,NA,-27367392,34413,0.732918474,2.153687607,170518_Smp_EtACpH2_1 Tryptophan,170518,Smp,EtACpH2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
32,170518_Smp_EtACpH2_2,Tryptophan,2.255,Bad IRcomparable to blkbad S/N,NA,-27543157,23014,0.586821983,1.443865215,170518_Smp_EtACpH2_2 Tryptophan,170518,Smp,EtACpH2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
33,170518_Smp_EtACpH2_3,Tryptophan,2.315,Bad IRcomparable to blkbad S/N,NA,-27511393,19176,1.787396138,1.375274242,170518_Smp_EtACpH2_3 Tryptophan,170518,Smp,EtACpH2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
34,170518_Smp_EtACpH5_1,Tryptophan,2.35,Bad IRcomparable to blkbad S/N,NA,-27552041,15928,1.163622072,2.114460371,170518_Smp_EtACpH5_1 Tryptophan,170518,Smp,EtACpH5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
35,170518_Smp_EtACpH5_2,Tryptophan,2.41,Bad IRcomparable to blkbad S/N,NA,-27539168,18301,28.52029731,2.259932813,170518_Smp_EtACpH5_2 Tryptophan,170518,Smp,EtACpH5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
36,170518_Smp_EtACpH5_3,Tryptophan,2.25,Bad IRcomparable to blk,NA,-27311441,30163,2.747896581,5.438832126,170518_Smp_EtACpH5_3 Tryptophan,170518,Smp,EtACpH5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
37,170518_Smp_EtACpH8_1,Tryptophan,2.235,comparable to blkbad S/N,NA,-27388407,40432,3.749355309,1.769998004,170518_Smp_EtACpH8_1 Tryptophan,170518,Smp,EtACpH8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
38,170518_Smp_EtACpH8_2,Tryptophan,2.195,Bad IRcomparable to blkbad S/N,NA,-27434649,42893,20.0677151,1.902386282,170518_Smp_EtACpH8_2 Tryptophan,170518,Smp,EtACpH8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
39,170518_Smp_EtACpH8_3,Tryptophan,2.175,comparable to blkbad S/N,NA,-27435475,24459,3.035558982,3.075309793,170518_Smp_EtACpH8_3 Tryptophan,170518,Smp,EtACpH8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
40,170518_Smp_SPEpH2_1,Tryptophan,2.23,NA,9561995,-18027055,1122261,3.993387645,16.40125923,170518_Smp_SPEpH2_1 Tryptophan,170518,Smp,SPEpH2,1,NA,12093913.54,11507216.58,10540902.39,10110192.15,8143841.655,8558950.718,5022087.015,4315113.501,4274539.539,11403650.22,17461715.26,D-Tryptophan.Norm.Area,10110192.15
41,170518_Smp_SPEpH2_2,Tryptophan,2.25,NA,24073312,-3515738,2920209,3.658024917,19.93611455,170518_Smp_SPEpH2_2 Tryptophan,170518,Smp,SPEpH2,2,NA,28700165.56,26307698.03,27141558.14,23219205.67,19534068.75,21669093.17,12705698.89,12731618.73,13251659.89,19340348.45,45493420.05,D-Tryptophan.Norm.Area,23219205.67
42,170518_Smp_SPEpH2_3,Tryptophan,2.245,NA,4579281,-23009769,617675,3.392092665,10.69114877,170518_Smp_SPEpH2_3 Tryptophan,170518,Smp,SPEpH2,3,NA,5849435.511,6413221.751,6161378.953,5189597.444,4077138.136,4400986.885,2925246.556,2620819.03,2775963.562,6481221.819,9660753.298,D-Tryptophan.Norm.Area,5189597.444
43,170518_Smp_SPEpH5_1,Tryptophan,2.225,NA,13434264,-14154786,1668813,4.342636815,16.89411702,170518_Smp_SPEpH5_1 Tryptophan,170518,Smp,SPEpH5,1,NA,18740031.41,17363143.05,17255942.47,14776594.49,11682761.49,11872877.37,8622496.338,7636168.871,7597755.296,16957563.36,18613024.98,D-Tryptophan.Norm.Area,14776594.49
44,170518_Smp_SPEpH5_2,Tryptophan,2.23,comparable to blk,NA,-27440795,31956,2.0023095,2.039845975,170518_Smp_SPEpH5_2 Tryptophan,170518,Smp,SPEpH5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Tryptophan.Norm.Area,NA
45,170518_Smp_SPEpH5_3,Tryptophan,2.22,NA,1181118,-26407932,199892,3.533298233,6.636960641,170518_Smp_SPEpH5_3 Tryptophan,170518,Smp,SPEpH5,3,NA,1479340.007,1390210.662,1203207.756,1102329.113,824555.5675,1025724.782,714182.1665,668860.6354,675584.6484,1122849.151,1677859.094,D-Tryptophan.Norm.Area,1102329.113
46,170518_Smp_SPEpH8_1,Tryptophan,2.2,NA,53749748,26160698,14829055,4.169384381,101.8829846,170518_Smp_SPEpH8_1 Tryptophan,170518,Smp,SPEpH8,1,NA,58758483.51,48632328.54,8449574.694,10834543.92,44001568.23,13731434.2,129154093.8,43921076.69,78013473.19,23867481.34,306741676.6,D-Tryptophan.Norm.Area,10834543.92
47,170518_Smp_SPEpH8_2,Tryptophan,2.23,NA,15360449,-12228601,2164191,4.454327226,23.16102486,170518_Smp_SPEpH8_2 Tryptophan,170518,Smp,SPEpH8,2,NA,14384922.76,11429846.81,17986044.52,20199123.58,11631069.13,14432340.07,12064045.26,12985775.32,18651445.33,13103785.52,66814320.08,D-Tryptophan.Norm.Area,20199123.58
48,170518_Smp_SPEpH8_3,Tryptophan,2.23,NA,12667890,-14921160,1788573,4.029069473,14.4866511,170518_Smp_SPEpH8_3 Tryptophan,170518,Smp,SPEpH8,3,NA,15770136.8,12306392.62,20627993.89,19037390.19,13117591.35,6009767.742,14410977.49,23535137,35678233.2,15607773.54,52108989.63,D-Tryptophan.Norm.Area,19037390.19
