"X1","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","S.N","BlkRatio","rawArea"
3494,"170720_Poo_TruePoo_Full2","DHPS",8.825,NA,2793182,2792959,103143,1.618729209,Inf,7.98e-05,2793182
3495,"170720_Poo_TruePoo_Full3","DHPS",8.8,NA,3073691,3073468,150207,1.624766489,Inf,7.26e-05,3073691
3496,"170720_Poo_TruePoo_Half1","DHPS",8.67,NA,1444656,1444433,60879,1.643798956,Inf,0.000154362,1444656
3497,"170720_Poo_TruePoo_Half2","DHPS",8.5,NA,1750192,1749969,93599,2.050355903,Inf,0.000127415,1750192
3498,"170720_Poo_TruePoo_Half3","DHPS",8.615,NA,1353743,1353520,67423,1.378592123,Inf,0.000164728,1353743
3529,"170720_Poo_TruePoo_Full1","DMSP",10.26,NA,832977856,832852777,76616656,1.289170173,106.1290529,0.000150159,832977856
3530,"170720_Poo_TruePoo_Full2","DMSP",10.255,NA,879709568,879584489,81106648,1.309983406,122.9990722,0.000142182,879709568
3531,"170720_Poo_TruePoo_Full3","DMSP",10.26,NA,886710912,886585833,81977872,1.309322386,98.54312625,0.00014106,886710912
3532,"170720_Poo_TruePoo_Half1","DMSP",10.26,NA,456746368,456621289,41726284,1.294015308,138.2158754,0.000273848,456746368
3533,"170720_Poo_TruePoo_Half2","DMSP",10.26,NA,438647584,438522505,39340552,1.297927887,93.79043715,0.000285147,438647584
3534,"170720_Poo_TruePoo_Half3","DMSP",10.26,NA,437713728,437588649,40800024,1.286342089,106.0375726,0.000285755,437713728
3565,"170720_Poo_TruePoo_Full1","Isethionic Acid",7.185,"Bad RT",2080661,2080561,123457,1.163066591,Inf,4.81e-05,2080661
3566,"170720_Poo_TruePoo_Full2","Isethionic Acid",7.185,"Bad RT",2379788,2379688,118120,1.453637655,795.8523714,4.2e-05,2379788
3567,"170720_Poo_TruePoo_Full3","Isethionic Acid",7.185,"Bad RT",2609980,2609880,131434,1.638125819,348.2103233,3.83e-05,2609980
3568,"170720_Poo_TruePoo_Half1","Isethionic Acid",7.185,NA,1200698,1200598,81194,1.380088849,Inf,8.33e-05,1200698
3569,"170720_Poo_TruePoo_Half2","Isethionic Acid",7.215,"Bad IR",1411573,1411473,84503,2.089748695,Inf,7.08e-05,1411573
3570,"170720_Poo_TruePoo_Half3","Isethionic Acid",7.165,NA,1471902,1471802,86390,1.206241733,Inf,6.79e-05,1471902
3637,"170720_Poo_TruePoo_Full1","N-acetyltaurine",NA,NA,13266696,12187939,436485,3.598196928,2.845649165,0.081313162,13266696
3638,"170720_Poo_TruePoo_Full2","N-acetyltaurine",NA,NA,12845348,11766591,501935,3.443244695,2.851278017,0.083980364,12845348
3639,"170720_Poo_TruePoo_Full3","N-acetyltaurine",NA,NA,14079207,13000450,462538,3.384122141,3.551673298,0.07662058,14079207
3640,"170720_Poo_TruePoo_Half1","N-acetyltaurine",NA,NA,5125289,4046532,225591,3.036598277,1.668587263,0.210477302,5125289
3641,"170720_Poo_TruePoo_Half2","N-acetyltaurine",NA,NA,8934261,7855504,288533,5.029626302,2.586371348,0.120743842,8934261
3642,"170720_Poo_TruePoo_Half3","N-acetyltaurine",5.28,NA,6132751,5053994,264175,3.235971129,2.114961102,0.175900995,6132751
3673,"170720_Poo_TruePoo_Full1","Sulfoacetic Acid",14.04,NA,2550548,2549791,311728,2.480679657,Inf,0.000296799,2550548
3674,"170720_Poo_TruePoo_Full2","Sulfoacetic Acid",14.05,NA,3006653,3005896,320749,2.590912577,Inf,0.000251775,3006653
3675,"170720_Poo_TruePoo_Full3","Sulfoacetic Acid",14.03,NA,2591220,2590463,284645,2.444519496,Inf,0.00029214,2591220
3676,"170720_Poo_TruePoo_Half1","Sulfoacetic Acid",14.1,NA,1658771,1658014,198525,2.600300981,232.2520563,0.000456362,1658771
3677,"170720_Poo_TruePoo_Half2","Sulfoacetic Acid",14.105,NA,1690195,1689438,211974,2.330753712,Inf,0.000447877,1690195
3678,"170720_Poo_TruePoo_Half3","Sulfoacetic Acid",14.06,"Bad IR",1457051,1456294,150447,3.15752166,2192.054135,0.000519543,1457051
3745,"170720_Poo_TruePoo_Full1","Taurine",10.755,"Bad RTBad IR",707816,707816,73067,277.4660917,Inf,0,707816
3746,"170720_Poo_TruePoo_Full2","Taurine",10.755,"Bad RT",472012,472012,48103,32.86305089,Inf,0,472012
3747,"170720_Poo_TruePoo_Full3","Taurine",10.755,"Bad RTBad IR",674720,674720,58547,272.1742638,552.2418301,0,674720
3748,"170720_Poo_TruePoo_Half1","Taurine",10.755,"Bad IR",437434,437434,41554,143.7981591,Inf,0,437434
3749,"170720_Poo_TruePoo_Half2","Taurine",10.83,"Bad IR",260391,260391,20332,401.2187982,Inf,0,260391
3750,"170720_Poo_TruePoo_Half3","Taurine",10.77,"Bad IR",357885,357885,20891,396.7682927,Inf,0,357885
3781,"170720_Poo_TruePoo_Full1","Hypotaurine",11.405,"Bad IR",356478,356178,33046,8.628085972,92.31096311,0.000841567,356478
3782,"170720_Poo_TruePoo_Full2","Hypotaurine",11.41,"Bad IR",563653,563353,59997,17.39669753,Inf,0.000532242,563653
3783,"170720_Poo_TruePoo_Full3","Hypotaurine",11.425,"Bad IR",391500,391200,31255,2.630111587,Inf,0.000766284,391500
3784,"170720_Poo_TruePoo_Half1","Hypotaurine",11.445,"Bad IR",198742,198442,21904,2.586674996,Inf,0.001509495,198742
3785,"170720_Poo_TruePoo_Half2","Hypotaurine",11.45,"Bad IR",204412,204112,16116,39.51517495,Inf,0.001467624,204412
3786,"170720_Poo_TruePoo_Half3","Hypotaurine",11.435,"Bad IR",235919,235619,25888,2.789596907,Inf,0.001271623,235919
3817,"170720_Poo_TruePoo_Full1","N-methyltaurine",8.925,NA,23902960,23870252,1289165,1.870136292,25.46787428,0.001368366,23902960
3818,"170720_Poo_TruePoo_Full2","N-methyltaurine",8.87,NA,23333018,23300310,1332141,1.859049528,49.52321347,0.00140179,23333018
3819,"170720_Poo_TruePoo_Full3","N-methyltaurine",8.905,NA,25419714,25387006,1334423,1.860288426,45.31972982,0.001286718,25419714
3820,"170720_Poo_TruePoo_Half1","N-methyltaurine",8.935,NA,10827541,10794833,857703,1.603833752,12.66145139,0.003020815,10827541
3821,"170720_Poo_TruePoo_Half2","N-methyltaurine",8.93,NA,11492244,11459536,799484,1.67836483,46.67265183,0.002846093,11492244
3822,"170720_Poo_TruePoo_Half3","N-methyltaurine",8.915,NA,11953697,11920989,848449,1.715211314,32.05816343,0.002736225,11953697
3853,"170720_Poo_TruePoo_Full1","Ethanesulfonic Acid",NA,NA,2665811,2665811,172215,2310.061525,Inf,0,2665811
3854,"170720_Poo_TruePoo_Full2","Ethanesulfonic Acid",NA,NA,2980867,2980867,183230,9032.930303,214.8201707,0,2980867
3855,"170720_Poo_TruePoo_Full3","Ethanesulfonic Acid",NA,NA,3057109,3057109,192963,7899.50646,168.3111318,0,3057109
3856,"170720_Poo_TruePoo_Half1","Ethanesulfonic Acid",4.63,NA,1726360,1726360,141948,1920.311457,Inf,0,1726360
3857,"170720_Poo_TruePoo_Half2","Ethanesulfonic Acid",NA,"Bad RT",1773883,1773883,112789,3297.180297,460.1982915,0,1773883
3858,"170720_Poo_TruePoo_Half3","Ethanesulfonic Acid",NA,"Bad RT",1564430,1564430,150521,3364.365591,511.2511416,0,1564430
3889,"170720_Poo_TruePoo_Full1","Amino Propanesulfonic Acid",11.825,NA,255467,255467,27437,1125.405286,Inf,0,255467
3890,"170720_Poo_TruePoo_Full2","Amino Propanesulfonic Acid",12.06,NA,335469,335469,40117,1078.678457,Inf,0,335469
3891,"170720_Poo_TruePoo_Full3","Amino Propanesulfonic Acid",11.825,NA,180705,180705,16743,Inf,Inf,0,180705
3892,"170720_Poo_TruePoo_Half1","Amino Propanesulfonic Acid",11.86,NA,277027,277027,33433,Inf,Inf,0,277027
3893,"170720_Poo_TruePoo_Half2","Amino Propanesulfonic Acid",11.915,NA,167458,167458,17159,575.4570447,Inf,0,167458
3894,"170720_Poo_TruePoo_Half3","Amino Propanesulfonic Acid",11.815,NA,59190,59190,6663,Inf,Inf,0,59190
3925,"170720_Poo_TruePoo_Full1","Propanesulfonate",3.08,NA,5046301,5045264,181729,64696.16667,388178,0.000205497,5046301
3926,"170720_Poo_TruePoo_Full2","Propanesulfonate",3.43,NA,5051473,5050436,172741,8518.504216,366.9692096,0.000205287,5051473
3927,"170720_Poo_TruePoo_Full3","Propanesulfonate",3.085,NA,5033758,5032721,165795,13074.6961,90.55111989,0.000206009,5033758
3928,"170720_Poo_TruePoo_Half1","Propanesulfonate",3.29,NA,2526911,2525874,105554,8125.115756,9291.113971,0.000410382,2526911
3929,"170720_Poo_TruePoo_Half2","Propanesulfonate",3.26,NA,2489740,2488703,104931,6954.581006,73.3908935,0.000416509,2489740
3930,"170720_Poo_TruePoo_Half3","Propanesulfonate",3.125,NA,2484119,2483082,104800,9517.697318,Inf,0.000417452,2484119
3961,"170720_Poo_TruePoo_Full1","Glutathione Disulfide",15.03,NA,7879645,7871137,34754,1.480017641,15.4288359,0.001079744,7879645
3962,"170720_Poo_TruePoo_Full2","Glutathione Disulfide",15.03,NA,8379508,8371000,36287,1.429551311,9.651949229,0.001015334,8379508
3963,"170720_Poo_TruePoo_Full3","Glutathione Disulfide",15.03,NA,8776147,8767639,39275,1.534643704,10.71353198,0.000969446,8776147
3964,"170720_Poo_TruePoo_Half1","Glutathione Disulfide",15.03,NA,2135890,2127382,15310,1.378940124,5.780202319,0.003983351,2135890
3965,"170720_Poo_TruePoo_Half2","Glutathione Disulfide",15.305,NA,2144796,2136288,14303,1.448245127,6.34414057,0.003966811,2144796
3966,"170720_Poo_TruePoo_Half3","Glutathione Disulfide",15.34,NA,2348630,2340122,13591,1.490645661,6.750906602,0.003622537,2348630
3997,"170720_Poo_TruePoo_Full1","Vitamin B3",4.27,NA,75611280,75587798,2358003,0.944677447,47.91733914,0.000310562,75611280
3998,"170720_Poo_TruePoo_Full2","Vitamin B3",4.255,NA,75090032,75066550,2609746,0.944102896,37.0557166,0.000312718,75090032
3999,"170720_Poo_TruePoo_Full3","Vitamin B3",4.26,NA,78216544,78193062,2664224,0.968393278,42.60288499,0.000300218,78216544
