"","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","Run.Cmpd","runDate","type","SampID","replicate","inj.vol.Norm.Area","13C Acetyl CoA.Norm.Area","13C-Isethionic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area","13C-Sulfolactic Acid.Norm.Area","d3-Cysteic Acid.Norm.Area","d4 Succinic Acid.Norm.Area","d4 Taurine.Norm.Area","D-Methionine.Norm.Area","Heavy Alanine.Norm.Area","Heavy Histidine.Norm.Area","Heavy Isoleucine.Norm.Area","Heavy Proline.Norm.Area","Heavy Valine.Norm.Area","15N GMP.Norm.Area","15N AMP.Norm.Area","PooModel.IS","SmpModel.IS","PooPlusModel.IS","PooModel","SmpModel","PooPlusModel"
"1789","170516_Std_StdsInH2O_2","Heavy Histidine",10.69,"Standards",370429120,NA,13534987,NA,"170516_Std_StdsInH2O_2 Heavy Histidine","170516","Std","StdsInH2O","2",370429120,224801311.179778,777915191748.157,2333477060486.46,322224312842.909,22980596934.5675,8511396106.87982,62452736770.9811,279748637277.627,265408484547.942,1221480054.76923,91881762.50543,4006698328.88185,176895019991.119,2247287530657.47,1278779895605.46,"Heavy Histidine.Norm.Area","Heavy Histidine.Norm.Area","Heavy Histidine.Norm.Area",1221480054.76923,1221480054.76923,1221480054.76923
"1790","170516_Std_StdsInH2O_1","Heavy Isoleucine",7.93,"Standards",276741536,NA,16612325,NA,"170516_Std_StdsInH2O_1 Heavy Isoleucine","170516","Std","StdsInH2O","1",276741536,422747961.986884,112728374068.168,7471296601779.69,39601982394.771,141964991990.582,10768908816.7415,99792696112.946,39455331156.96,220866466409.245,1967751671.29123,77769896.7307692,4134235873.66703,23819857073.8476,797000636572.059,16158795052500.7,"Heavy Isoleucine.Norm.Area","Heavy Isoleucine.Norm.Area","Heavy Isoleucine.Norm.Area",77769896.7307692,77769896.7307692,77769896.7307692
"1791","170516_Std_StdsInH2O_2","Heavy Isoleucine",7.36,"Standards",313535936,NA,17007822,NA,"170516_Std_StdsInH2O_2 Heavy Isoleucine","170516","Std","StdsInH2O","2",313535936,190274699.555961,658437349022.069,1975084772747.22,272734771848.278,19451070611.6149,7204154319.82593,52860793663.4441,236782817812.933,224645129478.699,1033876311.55294,77769896.7307692,3391320614.361,149726203130.721,1902132854419.81,1082375628316.26,"Heavy Isoleucine.Norm.Area","Heavy Isoleucine.Norm.Area","Heavy Isoleucine.Norm.Area",77769896.7307692,77769896.7307692,77769896.7307692
"1792","170516_Std_StdsInH2O_1","Heavy Proline",9.42,"Standards",45620908,NA,3516795,NA,"170516_Std_StdsInH2O_1 Heavy Proline","170516","Std","StdsInH2O","1",45620908,69690102.0343803,18583299264.3124,1231645020971.86,6528396212.44809,23402962679.3106,1775257178.55723,16450849678.1656,6504220721.03122,36409889494.6555,324384330.810477,12820385.9644832,681529766.615385,3926709101.37303,131385744411.693,2663781205872.15,"Heavy Proline.Norm.Area","Heavy Proline.Norm.Area","Heavy Proline.Norm.Area",681529766.615385,681529766.615385,681529766.615385
"1793","170516_Std_StdsInH2O_2","Heavy Proline",8.93,"Standards",63009104,NA,4452694,NA,"170516_Std_StdsInH2O_2 Heavy Proline","170516","Std","StdsInH2O","2",63009104,38238163.3373289,132321506527.455,396918845866.669,54809582030.8279,3908944367.63569,1447768043.94748,10623060590.6128,47584571591.1434,45145346039.1118,207770824.833858,15628867.2159682,681529766.615385,30089418217.7213,382258213763.27,217517390196.844,"Heavy Proline.Norm.Area","Heavy Proline.Norm.Area","Heavy Proline.Norm.Area",681529766.615385,681529766.615385,681529766.615385
"1794","170516_Std_StdsInH2O_1","Heavy Valine",8.6,"Standards",763937,NA,43879,NA,"170516_Std_StdsInH2O_1 Heavy Valine","170516","Std","StdsInH2O","1",763937,1166983.51286297,311183413.755838,20624298016.7378,109320126.143674,391890251.293212,29727261.0886104,275474849.176365,108915299.646435,609695487.667161,5431921.53313484,214681.548919399,11412438.4661274,65754026,2200097188.52232,44605886035.2002,"Heavy Valine.Norm.Area","Heavy Valine.Norm.Area","Heavy Valine.Norm.Area",65754026,65754026,65754026
"1795","170516_Std_StdsInH2O_2","Heavy Valine",9.07,"Standards",137693,NA,16522,NA,"170516_Std_StdsInH2O_2 Heavy Valine","170516","Std","StdsInH2O","2",137693,83561.3758990578,289160518.744798,867381746.039736,119774688.092229,8542166.80835298,3163789.24028598,23214440.2799831,103985963.934661,98655555.1109474,454038.962113291,34153.5663412752,1489338.40028216,65754026,835344051.67396,475338008.430878,"Heavy Valine.Norm.Area","Heavy Valine.Norm.Area","Heavy Valine.Norm.Area",65754026,65754026,65754026
"1796","170516_Std_StdsInH2O_1","15N GMP",13.43,"Standards",870,NA,151,NA,"170516_Std_StdsInH2O_1 15N GMP","170516","Std","StdsInH2O","1",870,1329.00442862538,354387.298910223,23487721.2054945,124497.84438376,446299.26109757,33854.5156826951,313721.051321559,124036.812842418,694344.002542657,6186.0752049283,244.487369455697,12996.9113494055,74883.1416988574,2505552.88461538,50798849.7096281,"15N GMP.Norm.Area","15N GMP.Norm.Area","15N GMP.Norm.Area",2505552.88461538,2505552.88461538,2505552.88461538
"1797","170516_Std_StdsInH2O_2","15N GMP",13.49,"Standards",413,NA,74,NA,"170516_Std_StdsInH2O_2 15N GMP","170516","Std","StdsInH2O","2",413,250.636185182332,867315.65324019,2601647.58640171,359255.344731325,25621.5994411465,9489.55252800148,69630.0017839181,311898.230883306,295910.062681627,1361.8563859658,102.441103752163,4467.16070763606,197224.352276441,2505552.88461538,1425741.30480092,"15N GMP.Norm.Area","15N GMP.Norm.Area","15N GMP.Norm.Area",2505552.88461538,2505552.88461538,2505552.88461538
"1798","170516_Std_StdsInH2O_1","15N AMP",12.03,"Standards",302,NA,83,NA,"170516_Std_StdsInH2O_1 15N AMP","170516","Std","StdsInH2O","1",302,461.332571775705,123017.200311365,8153208.97018316,43216.493107926,154922.272243065,11751.7973979011,108900.870688633,43056.4568717358,241025.159503313,2147.35024354982,84.8680293972651,4511.57152588559,25993.9181529367,869743.645004419,17633623.6923077,"15N AMP.Norm.Area","15N AMP.Norm.Area","15N AMP.Norm.Area",17633623.6923077,17633623.6923077,17633623.6923077
